dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
1,Rdz 1-3,Iz 1,Hi 1,,Mt 1,,18991,https://biblia.deon.pl/otworz.php?skrot=Rdz%201 https://biblia.deon.pl/otworz.php?skrot=Rdz%202 https://biblia.deon.pl/otworz.php?skrot=Rdz%203 https://biblia.deon.pl/otworz.php?skrot=Iz%201 https://biblia.deon.pl/otworz.php?skrot=Hi%201 https://biblia.deon.pl/otworz.php?skrot=Mt%201
2,Rdz 4-6,Iz 2,,,Mt 2,Rz 1,17479,https://biblia.deon.pl/otworz.php?skrot=Rdz%204 https://biblia.deon.pl/otworz.php?skrot=Rdz%205 https://biblia.deon.pl/otworz.php?skrot=Rdz%206 https://biblia.deon.pl/otworz.php?skrot=Iz%202 https://biblia.deon.pl/otworz.php?skrot=Mt%202 https://biblia.deon.pl/otworz.php?skrot=Rz%201
3,Rdz 7-11,Iz 3,,Ps 1,,,16826,https://biblia.deon.pl/otworz.php?skrot=Rdz%207 https://biblia.deon.pl/otworz.php?skrot=Rdz%208 https://biblia.deon.pl/otworz.php?skrot=Rdz%209 https://biblia.deon.pl/otworz.php?skrot=Rdz%2010 https://biblia.deon.pl/otworz.php?skrot=Rdz%2011 https://biblia.deon.pl/otworz.php?skrot=Iz%203 https://biblia.deon.pl/otworz.php?skrot=Ps%201
4,Rdz 12-15,Iz 4,Hi 2,Ps 2,,Rz 2,17182,https://biblia.deon.pl/otworz.php?skrot=Rdz%2012 https://biblia.deon.pl/otworz.php?skrot=Rdz%2013 https://biblia.deon.pl/otworz.php?skrot=Rdz%2014 https://biblia.deon.pl/otworz.php?skrot=Rdz%2015 https://biblia.deon.pl/otworz.php?skrot=Iz%204 https://biblia.deon.pl/otworz.php?skrot=Hi%202 https://biblia.deon.pl/otworz.php?skrot=Ps%202 https://biblia.deon.pl/otworz.php?skrot=Rz%202
5,Rdz 16-17,Iz 5,Hi 3,Ps 3,Mt 3-4,,16609,https://biblia.deon.pl/otworz.php?skrot=Rdz%2016 https://biblia.deon.pl/otworz.php?skrot=Rdz%2017 https://biblia.deon.pl/otworz.php?skrot=Iz%205 https://biblia.deon.pl/otworz.php?skrot=Hi%203 https://biblia.deon.pl/otworz.php?skrot=Ps%203 https://biblia.deon.pl/otworz.php?skrot=Mt%203 https://biblia.deon.pl/otworz.php?skrot=Mt%204
6,Rdz 18-20,Iz 6,Hi 4,Ps 4,,,15829,https://biblia.deon.pl/otworz.php?skrot=Rdz%2018 https://biblia.deon.pl/otworz.php?skrot=Rdz%2019 https://biblia.deon.pl/otworz.php?skrot=Rdz%2020 https://biblia.deon.pl/otworz.php?skrot=Iz%206 https://biblia.deon.pl/otworz.php?skrot=Hi%204 https://biblia.deon.pl/otworz.php?skrot=Ps%204
7,Rdz 21,Iz 7,,,Mt 5,Rz 3,15376,https://biblia.deon.pl/otworz.php?skrot=Rdz%2021 https://biblia.deon.pl/otworz.php?skrot=Iz%207 https://biblia.deon.pl/otworz.php?skrot=Mt%205 https://biblia.deon.pl/otworz.php?skrot=Rz%203
8,Rdz 22-23,Iz 8,Hi 5-7,Ps 5,,,14968,https://biblia.deon.pl/otworz.php?skrot=Rdz%2022 https://biblia.deon.pl/otworz.php?skrot=Rdz%2023 https://biblia.deon.pl/otworz.php?skrot=Iz%208 https://biblia.deon.pl/otworz.php?skrot=Hi%205 https://biblia.deon.pl/otworz.php?skrot=Hi%206 https://biblia.deon.pl/otworz.php?skrot=Hi%207 https://biblia.deon.pl/otworz.php?skrot=Ps%205
9,Rdz 24,Iz 9,Hi 8,,Mt 6,,16122,https://biblia.deon.pl/otworz.php?skrot=Rdz%2024 https://biblia.deon.pl/otworz.php?skrot=Iz%209 https://biblia.deon.pl/otworz.php?skrot=Hi%208 https://biblia.deon.pl/otworz.php?skrot=Mt%206
10,Rdz 25-26,Iz 10,,Ps 6,,Rz 4,16132,https://biblia.deon.pl/otworz.php?skrot=Rdz%2025 https://biblia.deon.pl/otworz.php?skrot=Rdz%2026 https://biblia.deon.pl/otworz.php?skrot=Iz%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%206 https://biblia.deon.pl/otworz.php?skrot=Rz%204
