dzien,data,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
1,2026-08-11,Rdz 1-2,Iz 1,,,Mt 1,,12885,https://biblia.deon.pl/otworz.php?skrot=Rdz%201 https://biblia.deon.pl/otworz.php?skrot=Rdz%202 https://biblia.deon.pl/otworz.php?skrot=Iz%201 https://biblia.deon.pl/otworz.php?skrot=Mt%201
2,2026-08-12,Rdz 3,,Hi 1,Ps 1,,Rz 1,10830,https://biblia.deon.pl/otworz.php?skrot=Rdz%203 https://biblia.deon.pl/otworz.php?skrot=Hi%201 https://biblia.deon.pl/otworz.php?skrot=Ps%201 https://biblia.deon.pl/otworz.php?skrot=Rz%201
3,2026-08-13,Rdz 4-5,Iz 2,,Ps 2,Mt 2,,11688,https://biblia.deon.pl/otworz.php?skrot=Rdz%204 https://biblia.deon.pl/otworz.php?skrot=Rdz%205 https://biblia.deon.pl/otworz.php?skrot=Iz%202 https://biblia.deon.pl/otworz.php?skrot=Ps%202 https://biblia.deon.pl/otworz.php?skrot=Mt%202
4,2026-08-14,Rdz 6-7,Iz 3-4,Hi 2,,Mt 3,,12281,https://biblia.deon.pl/otworz.php?skrot=Rdz%206 https://biblia.deon.pl/otworz.php?skrot=Rdz%207 https://biblia.deon.pl/otworz.php?skrot=Iz%203 https://biblia.deon.pl/otworz.php?skrot=Iz%204 https://biblia.deon.pl/otworz.php?skrot=Hi%202 https://biblia.deon.pl/otworz.php?skrot=Mt%203
5,2026-08-15,Rdz 8-10,Iz 5,,,,,11905,https://biblia.deon.pl/otworz.php?skrot=Rdz%208 https://biblia.deon.pl/otworz.php?skrot=Rdz%209 https://biblia.deon.pl/otworz.php?skrot=Rdz%2010 https://biblia.deon.pl/otworz.php?skrot=Iz%205
6,2026-08-16,Rdz 11,,Hi 3,,Mt 4,Rz 2,11282,https://biblia.deon.pl/otworz.php?skrot=Rdz%2011 https://biblia.deon.pl/otworz.php?skrot=Hi%203 https://biblia.deon.pl/otworz.php?skrot=Mt%204 https://biblia.deon.pl/otworz.php?skrot=Rz%202
7,2026-08-17,Rdz 12-13,Iz 6-7,Hi 4,Ps 3,,,11306,https://biblia.deon.pl/otworz.php?skrot=Rdz%2012 https://biblia.deon.pl/otworz.php?skrot=Rdz%2013 https://biblia.deon.pl/otworz.php?skrot=Iz%206 https://biblia.deon.pl/otworz.php?skrot=Iz%207 https://biblia.deon.pl/otworz.php?skrot=Hi%204 https://biblia.deon.pl/otworz.php?skrot=Ps%203
8,2026-08-18,Rdz 14-16,Iz 8,Hi 5,,,,12510,https://biblia.deon.pl/otworz.php?skrot=Rdz%2014 https://biblia.deon.pl/otworz.php?skrot=Rdz%2015 https://biblia.deon.pl/otworz.php?skrot=Rdz%2016 https://biblia.deon.pl/otworz.php?skrot=Iz%208 https://biblia.deon.pl/otworz.php?skrot=Hi%205
9,2026-08-19,Rdz 17,,,Ps 4,Mt 5,Rz 3,12900,https://biblia.deon.pl/otworz.php?skrot=Rdz%2017 https://biblia.deon.pl/otworz.php?skrot=Ps%204 https://biblia.deon.pl/otworz.php?skrot=Mt%205 https://biblia.deon.pl/otworz.php?skrot=Rz%203
10,2026-08-20,Rdz 18,Iz 9-10,,Ps 5,,,12021,https://biblia.deon.pl/otworz.php?skrot=Rdz%2018 https://biblia.deon.pl/otworz.php?skrot=Iz%209 https://biblia.deon.pl/otworz.php?skrot=Iz%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%205
11,2026-08-21,Rdz 19-20,,Hi 6-7,,,,11204,https://biblia.deon.pl/otworz.php?skrot=Rdz%2019 https://biblia.deon.pl/otworz.php?skrot=Rdz%2020 https://biblia.deon.pl/otworz.php?skrot=Hi%206 https://biblia.deon.pl/otworz.php?skrot=Hi%207
12,2026-08-22,Rdz 21,,,Ps 6,Mt 6,Rz 4,11801,https://biblia.deon.pl/otworz.php?skrot=Rdz%2021 https://biblia.deon.pl/otworz.php?skrot=Ps%206 https://biblia.deon.pl/otworz.php?skrot=Mt%206 https://biblia.deon.pl/otworz.php?skrot=Rz%204
13,2026-08-23,Rdz 22-23,Iz 11-13,Hi 8,,,,11899,https://biblia.deon.pl/otworz.php?skrot=Rdz%2022 https://biblia.deon.pl/otworz.php?skrot=Rdz%2023 https://biblia.deon.pl/otworz.php?skrot=Iz%2011 https://biblia.deon.pl/otworz.php?skrot=Iz%2012 https://biblia.deon.pl/otworz.php?skrot=Iz%2013 https://biblia.deon.pl/otworz.php?skrot=Hi%208
14,2026-08-24,Rdz 24,,Hi 9,,,Rz 5,13586,https://biblia.deon.pl/otworz.php?skrot=Rdz%2024 https://biblia.deon.pl/otworz.php?skrot=Hi%209 https://biblia.deon.pl/otworz.php?skrot=Rz%205
15,2026-08-25,Rdz 25,Iz 14,,Ps 7,Mt 7,,12273,https://biblia.deon.pl/otworz.php?skrot=Rdz%2025 https://biblia.deon.pl/otworz.php?skrot=Iz%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%207 https://biblia.deon.pl/otworz.php?skrot=Mt%207
16,2026-08-26,Rdz 26,Iz 15-16,,,Mt 8,,10853,https://biblia.deon.pl/otworz.php?skrot=Rdz%2026 https://biblia.deon.pl/otworz.php?skrot=Iz%2015 https://biblia.deon.pl/otworz.php?skrot=Iz%2016 https://biblia.deon.pl/otworz.php?skrot=Mt%208
17,2026-08-27,Rdz 27,,Hi 10-11,,,Rz 6,11956,https://biblia.deon.pl/otworz.php?skrot=Rdz%2027 https://biblia.deon.pl/otworz.php?skrot=Hi%2010 https://biblia.deon.pl/otworz.php?skrot=Hi%2011 https://biblia.deon.pl/otworz.php?skrot=Rz%206
18,2026-08-28,Rdz 28-29,Iz 17-18,,Ps 8,,,10654,https://biblia.deon.pl/otworz.php?skrot=Rdz%2028 https://biblia.deon.pl/otworz.php?skrot=Rdz%2029 https://biblia.deon.pl/otworz.php?skrot=Iz%2017 https://biblia.deon.pl/otworz.php?skrot=Iz%2018 https://biblia.deon.pl/otworz.php?skrot=Ps%208
19,2026-08-29,Rdz 30,Iz 19,,,Mt 9,,12405,https://biblia.deon.pl/otworz.php?skrot=Rdz%2030 https://biblia.deon.pl/otworz.php?skrot=Iz%2019 https://biblia.deon.pl/otworz.php?skrot=Mt%209
20,2026-08-30,Rdz 31,Iz 20,,Ps 9,,Rz 7,12703,https://biblia.deon.pl/otworz.php?skrot=Rdz%2031 https://biblia.deon.pl/otworz.php?skrot=Iz%2020 https://biblia.deon.pl/otworz.php?skrot=Ps%209 https://biblia.deon.pl/otworz.php?skrot=Rz%207
21,2026-08-31,Rdz 32-33,Iz 21,Hi 12-13,,,,11971,https://biblia.deon.pl/otworz.php?skrot=Rdz%2032 https://biblia.deon.pl/otworz.php?skrot=Rdz%2033 https://biblia.deon.pl/otworz.php?skrot=Iz%2021 https://biblia.deon.pl/otworz.php?skrot=Hi%2012 https://biblia.deon.pl/otworz.php?skrot=Hi%2013
22,2026-09-01,Rdz 34,Iz 22,,Ps 10,Mt 10,,13184,https://biblia.deon.pl/otworz.php?skrot=Rdz%2034 https://biblia.deon.pl/otworz.php?skrot=Iz%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2010 https://biblia.deon.pl/otworz.php?skrot=Mt%2010
23,2026-09-02,Rdz 35,Iz 23,Hi 14,,,Rz 8,12078,https://biblia.deon.pl/otworz.php?skrot=Rdz%2035 https://biblia.deon.pl/otworz.php?skrot=Iz%2023 https://biblia.deon.pl/otworz.php?skrot=Hi%2014 https://biblia.deon.pl/otworz.php?skrot=Rz%208
24,2026-09-03,Rdz 36-37,,,,Mt 11,,11343,https://biblia.deon.pl/otworz.php?skrot=Rdz%2036 https://biblia.deon.pl/otworz.php?skrot=Rdz%2037 https://biblia.deon.pl/otworz.php?skrot=Mt%2011
25,2026-09-04,Rdz 38,Iz 24-25,Hi 15,Ps 11,,,11073,https://biblia.deon.pl/otworz.php?skrot=Rdz%2038 https://biblia.deon.pl/otworz.php?skrot=Iz%2024 https://biblia.deon.pl/otworz.php?skrot=Iz%2025 https://biblia.deon.pl/otworz.php?skrot=Hi%2015 https://biblia.deon.pl/otworz.php?skrot=Ps%2011
26,2026-09-05,Rdz 39-40,Iz 26-27,Hi 16,,,,11584,https://biblia.deon.pl/otworz.php?skrot=Rdz%2039 https://biblia.deon.pl/otworz.php?skrot=Rdz%2040 https://biblia.deon.pl/otworz.php?skrot=Iz%2026 https://biblia.deon.pl/otworz.php?skrot=Iz%2027 https://biblia.deon.pl/otworz.php?skrot=Hi%2016
27,2026-09-06,Rdz 41,,Hi 17,Ps 12,,Rz 9,12254,https://biblia.deon.pl/otworz.php?skrot=Rdz%2041 https://biblia.deon.pl/otworz.php?skrot=Hi%2017 https://biblia.deon.pl/otworz.php?skrot=Ps%2012 https://biblia.deon.pl/otworz.php?skrot=Rz%209
