dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
1,Rdz 1-2,,,,,,6749,https://biblia.deon.pl/otworz.php?skrot=Rdz%201 https://biblia.deon.pl/otworz.php?skrot=Rdz%202
2,,Iz 1,,,Mt 1,,6136,https://biblia.deon.pl/otworz.php?skrot=Iz%201 https://biblia.deon.pl/otworz.php?skrot=Mt%201
3,Rdz 3,,Hi 1,Ps 1,,,6657,https://biblia.deon.pl/otworz.php?skrot=Rdz%203 https://biblia.deon.pl/otworz.php?skrot=Hi%201 https://biblia.deon.pl/otworz.php?skrot=Ps%201
4,Rdz 4,,,,,Rz 1,7155,https://biblia.deon.pl/otworz.php?skrot=Rdz%204 https://biblia.deon.pl/otworz.php?skrot=Rz%201
5,,Iz 2,,,Mt 2,,5284,https://biblia.deon.pl/otworz.php?skrot=Iz%202 https://biblia.deon.pl/otworz.php?skrot=Mt%202
6,Rdz 5-6,,,,,,5040,https://biblia.deon.pl/otworz.php?skrot=Rdz%205 https://biblia.deon.pl/otworz.php?skrot=Rdz%206
7,Rdz 7,,Hi 2,Ps 2,,,5354,https://biblia.deon.pl/otworz.php?skrot=Rdz%207 https://biblia.deon.pl/otworz.php?skrot=Hi%202 https://biblia.deon.pl/otworz.php?skrot=Ps%202
8,Rdz 8,Iz 3-4,,,,,5911,https://biblia.deon.pl/otworz.php?skrot=Rdz%208 https://biblia.deon.pl/otworz.php?skrot=Iz%203 https://biblia.deon.pl/otworz.php?skrot=Iz%204
9,Rdz 9-10,,,,Mt 3,,7349,https://biblia.deon.pl/otworz.php?skrot=Rdz%209 https://biblia.deon.pl/otworz.php?skrot=Rdz%2010 https://biblia.deon.pl/otworz.php?skrot=Mt%203
10,,Iz 5,Hi 3,,,,5869,https://biblia.deon.pl/otworz.php?skrot=Iz%205 https://biblia.deon.pl/otworz.php?skrot=Hi%203
11,Rdz 11,,,,,Rz 2,6576,https://biblia.deon.pl/otworz.php?skrot=Rdz%2011 https://biblia.deon.pl/otworz.php?skrot=Rz%202
12,Rdz 12,,,Ps 3,Mt 4,,6000,https://biblia.deon.pl/otworz.php?skrot=Rdz%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%203 https://biblia.deon.pl/otworz.php?skrot=Mt%204
13,Rdz 13-14,,Hi 4,,,,6658,https://biblia.deon.pl/otworz.php?skrot=Rdz%2013 https://biblia.deon.pl/otworz.php?skrot=Rdz%2014 https://biblia.deon.pl/otworz.php?skrot=Hi%204
14,Rdz 15,Iz 6-7,,,,,7083,https://biblia.deon.pl/otworz.php?skrot=Rdz%2015 https://biblia.deon.pl/otworz.php?skrot=Iz%206 https://biblia.deon.pl/otworz.php?skrot=Iz%207
