dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
1,Rdz 1-4,Iz 1,Hi 1,Ps 1,Mt 1-2,Rz 1,29506,https://biblia.deon.pl/otworz.php?skrot=Rdz%201 https://biblia.deon.pl/otworz.php?skrot=Rdz%202 https://biblia.deon.pl/otworz.php?skrot=Rdz%203 https://biblia.deon.pl/otworz.php?skrot=Rdz%204 https://biblia.deon.pl/otworz.php?skrot=Iz%201 https://biblia.deon.pl/otworz.php?skrot=Hi%201 https://biblia.deon.pl/otworz.php?skrot=Ps%201 https://biblia.deon.pl/otworz.php?skrot=Mt%201 https://biblia.deon.pl/otworz.php?skrot=Mt%202 https://biblia.deon.pl/otworz.php?skrot=Rz%201
2,Rdz 5-10,Iz 2-5,Hi 2,Ps 2,Mt 3,,30083,https://biblia.deon.pl/otworz.php?skrot=Rdz%205 https://biblia.deon.pl/otworz.php?skrot=Rdz%206 https://biblia.deon.pl/otworz.php?skrot=Rdz%207 https://biblia.deon.pl/otworz.php?skrot=Rdz%208 https://biblia.deon.pl/otworz.php?skrot=Rdz%209 https://biblia.deon.pl/otworz.php?skrot=Rdz%2010 https://biblia.deon.pl/otworz.php?skrot=Iz%202 https://biblia.deon.pl/otworz.php?skrot=Iz%203 https://biblia.deon.pl/otworz.php?skrot=Iz%204 https://biblia.deon.pl/otworz.php?skrot=Iz%205 https://biblia.deon.pl/otworz.php?skrot=Hi%202 https://biblia.deon.pl/otworz.php?skrot=Ps%202 https://biblia.deon.pl/otworz.php?skrot=Mt%203
3,Rdz 11-17,Iz 6,Hi 3,Ps 3,Mt 4,Rz 2,29164,https://biblia.deon.pl/otworz.php?skrot=Rdz%2011 https://biblia.deon.pl/otworz.php?skrot=Rdz%2012 https://biblia.deon.pl/otworz.php?skrot=Rdz%2013 https://biblia.deon.pl/otworz.php?skrot=Rdz%2014 https://biblia.deon.pl/otworz.php?skrot=Rdz%2015 https://biblia.deon.pl/otworz.php?skrot=Rdz%2016 https://biblia.deon.pl/otworz.php?skrot=Rdz%2017 https://biblia.deon.pl/otworz.php?skrot=Iz%206 https://biblia.deon.pl/otworz.php?skrot=Hi%203 https://biblia.deon.pl/otworz.php?skrot=Ps%203 https://biblia.deon.pl/otworz.php?skrot=Mt%204 https://biblia.deon.pl/otworz.php?skrot=Rz%202
4,Rdz 18-19,Iz 7-8,Hi 4,Ps 4,Mt 5,Rz 3,26524,https://biblia.deon.pl/otworz.php?skrot=Rdz%2018 https://biblia.deon.pl/otworz.php?skrot=Rdz%2019 https://biblia.deon.pl/otworz.php?skrot=Iz%207 https://biblia.deon.pl/otworz.php?skrot=Iz%208 https://biblia.deon.pl/otworz.php?skrot=Hi%204 https://biblia.deon.pl/otworz.php?skrot=Ps%204 https://biblia.deon.pl/otworz.php?skrot=Mt%205 https://biblia.deon.pl/otworz.php?skrot=Rz%203
5,Rdz 20-22,Iz 9-10,Hi 5,Ps 5,Mt 6,Rz 4,25681,https://biblia.deon.pl/otworz.php?skrot=Rdz%2020 https://biblia.deon.pl/otworz.php?skrot=Rdz%2021 https://biblia.deon.pl/otworz.php?skrot=Rdz%2022 https://biblia.deon.pl/otworz.php?skrot=Iz%209 https://biblia.deon.pl/otworz.php?skrot=Iz%2010 https://biblia.deon.pl/otworz.php?skrot=Hi%205 https://biblia.deon.pl/otworz.php?skrot=Ps%205 https://biblia.deon.pl/otworz.php?skrot=Mt%206 https://biblia.deon.pl/otworz.php?skrot=Rz%204
6,Rdz 23-25,Iz 11-13,Hi 6-7,Ps 6,Mt 7,,27153,https://biblia.deon.pl/otworz.php?skrot=Rdz%2023 https://biblia.deon.pl/otworz.php?skrot=Rdz%2024 https://biblia.deon.pl/otworz.php?skrot=Rdz%2025 https://biblia.deon.pl/otworz.php?skrot=Iz%2011 https://biblia.deon.pl/otworz.php?skrot=Iz%2012 https://biblia.deon.pl/otworz.php?skrot=Iz%2013 https://biblia.deon.pl/otworz.php?skrot=Hi%206 https://biblia.deon.pl/otworz.php?skrot=Hi%207 https://biblia.deon.pl/otworz.php?skrot=Ps%206 https://biblia.deon.pl/otworz.php?skrot=Mt%207
7,Rdz 26-27,Iz 14-16,Hi 8,Ps 7,Mt 8,Rz 5,26883,https://biblia.deon.pl/otworz.php?skrot=Rdz%2026 https://biblia.deon.pl/otworz.php?skrot=Rdz%2027 https://biblia.deon.pl/otworz.php?skrot=Iz%2014 https://biblia.deon.pl/otworz.php?skrot=Iz%2015 https://biblia.deon.pl/otworz.php?skrot=Iz%2016 https://biblia.deon.pl/otworz.php?skrot=Hi%208 https://biblia.deon.pl/otworz.php?skrot=Ps%207 https://biblia.deon.pl/otworz.php?skrot=Mt%208 https://biblia.deon.pl/otworz.php?skrot=Rz%205
8,Rdz 28-31,Iz 17,Hi 9,Ps 8,,Rz 6,26573,https://biblia.deon.pl/otworz.php?skrot=Rdz%2028 https://biblia.deon.pl/otworz.php?skrot=Rdz%2029 https://biblia.deon.pl/otworz.php?skrot=Rdz%2030 https://biblia.deon.pl/otworz.php?skrot=Rdz%2031 https://biblia.deon.pl/otworz.php?skrot=Iz%2017 https://biblia.deon.pl/otworz.php?skrot=Hi%209 https://biblia.deon.pl/otworz.php?skrot=Ps%208 https://biblia.deon.pl/otworz.php?skrot=Rz%206
9,Rdz 32-33,Iz 18-21,Hi 10-11,Ps 9,Mt 9,Rz 7,25818,https://biblia.deon.pl/otworz.php?skrot=Rdz%2032 https://biblia.deon.pl/otworz.php?skrot=Rdz%2033 https://biblia.deon.pl/otworz.php?skrot=Iz%2018 https://biblia.deon.pl/otworz.php?skrot=Iz%2019 https://biblia.deon.pl/otworz.php?skrot=Iz%2020 https://biblia.deon.pl/otworz.php?skrot=Iz%2021 https://biblia.deon.pl/otworz.php?skrot=Hi%2010 https://biblia.deon.pl/otworz.php?skrot=Hi%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%209 https://biblia.deon.pl/otworz.php?skrot=Mt%209 https://biblia.deon.pl/otworz.php?skrot=Rz%207
10,Rdz 34-37,Iz 22,Hi 12,Ps 10,Mt 10,,26013,https://biblia.deon.pl/otworz.php?skrot=Rdz%2034 https://biblia.deon.pl/otworz.php?skrot=Rdz%2035 https://biblia.deon.pl/otworz.php?skrot=Rdz%2036 https://biblia.deon.pl/otworz.php?skrot=Rdz%2037 https://biblia.deon.pl/otworz.php?skrot=Iz%2022 https://biblia.deon.pl/otworz.php?skrot=Hi%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2010 https://biblia.deon.pl/otworz.php?skrot=Mt%2010
