dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
1,Rdz 1-2,,,Ps 1,,,7300,https://biblia.deon.pl/otworz.php?skrot=Rdz%201 https://biblia.deon.pl/otworz.php?skrot=Rdz%202 https://biblia.deon.pl/otworz.php?skrot=Ps%201
2,,Iz 1,Hi 1,,Mt 1,,8964,https://biblia.deon.pl/otworz.php?skrot=Iz%201 https://biblia.deon.pl/otworz.php?skrot=Hi%201 https://biblia.deon.pl/otworz.php?skrot=Mt%201
3,Rdz 3-4,,,,,Rz 1,10433,https://biblia.deon.pl/otworz.php?skrot=Rdz%203 https://biblia.deon.pl/otworz.php?skrot=Rdz%204 https://biblia.deon.pl/otworz.php?skrot=Rz%201
4,Rdz 5,Iz 2,,,Mt 2,,7776,https://biblia.deon.pl/otworz.php?skrot=Rdz%205 https://biblia.deon.pl/otworz.php?skrot=Iz%202 https://biblia.deon.pl/otworz.php?skrot=Mt%202
5,Rdz 6-7,Iz 3,,,,,7733,https://biblia.deon.pl/otworz.php?skrot=Rdz%206 https://biblia.deon.pl/otworz.php?skrot=Rdz%207 https://biblia.deon.pl/otworz.php?skrot=Iz%203
6,Rdz 8,Iz 4,Hi 2,Ps 2,Mt 3,,7981,https://biblia.deon.pl/otworz.php?skrot=Rdz%208 https://biblia.deon.pl/otworz.php?skrot=Iz%204 https://biblia.deon.pl/otworz.php?skrot=Hi%202 https://biblia.deon.pl/otworz.php?skrot=Ps%202 https://biblia.deon.pl/otworz.php?skrot=Mt%203
7,Rdz 9-11,,,,,,8587,https://biblia.deon.pl/otworz.php?skrot=Rdz%209 https://biblia.deon.pl/otworz.php?skrot=Rdz%2010 https://biblia.deon.pl/otworz.php?skrot=Rdz%2011
8,,Iz 5,,,,Rz 2,7391,https://biblia.deon.pl/otworz.php?skrot=Iz%205 https://biblia.deon.pl/otworz.php?skrot=Rz%202
9,Rdz 12,,Hi 3,Ps 3,Mt 4,,7915,https://biblia.deon.pl/otworz.php?skrot=Rdz%2012 https://biblia.deon.pl/otworz.php?skrot=Hi%203 https://biblia.deon.pl/otworz.php?skrot=Ps%203 https://biblia.deon.pl/otworz.php?skrot=Mt%204
10,Rdz 13-14,Iz 6,Hi 4,,,,8324,https://biblia.deon.pl/otworz.php?skrot=Rdz%2013 https://biblia.deon.pl/otworz.php?skrot=Rdz%2014 https://biblia.deon.pl/otworz.php?skrot=Iz%206 https://biblia.deon.pl/otworz.php?skrot=Hi%204
11,Rdz 15-16,Iz 7,,Ps 4,,,8210,https://biblia.deon.pl/otworz.php?skrot=Rdz%2015 https://biblia.deon.pl/otworz.php?skrot=Rdz%2016 https://biblia.deon.pl/otworz.php?skrot=Iz%207 https://biblia.deon.pl/otworz.php?skrot=Ps%204
12,Rdz 17-18,Iz 8,,,,,10777,https://biblia.deon.pl/otworz.php?skrot=Rdz%2017 https://biblia.deon.pl/otworz.php?skrot=Rdz%2018 https://biblia.deon.pl/otworz.php?skrot=Iz%208
13,,,,,Mt 5,Rz 3,8736,https://biblia.deon.pl/otworz.php?skrot=Mt%205 https://biblia.deon.pl/otworz.php?skrot=Rz%203
14,Rdz 19,,Hi 5,,,,6947,https://biblia.deon.pl/otworz.php?skrot=Rdz%2019 https://biblia.deon.pl/otworz.php?skrot=Hi%205
15,Rdz 20,Iz 9,Hi 6,Ps 5,,,8046,https://biblia.deon.pl/otworz.php?skrot=Rdz%2020 https://biblia.deon.pl/otworz.php?skrot=Iz%209 https://biblia.deon.pl/otworz.php?skrot=Hi%206 https://biblia.deon.pl/otworz.php?skrot=Ps%205
16,Rdz 21-23,,,,,,8886,https://biblia.deon.pl/otworz.php?skrot=Rdz%2021 https://biblia.deon.pl/otworz.php?skrot=Rdz%2022 https://biblia.deon.pl/otworz.php?skrot=Rdz%2023
17,,Iz 10,,,Mt 6,Rz 4,11278,https://biblia.deon.pl/otworz.php?skrot=Iz%2010 https://biblia.deon.pl/otworz.php?skrot=Mt%206 https://biblia.deon.pl/otworz.php?skrot=Rz%204
18,Rdz 24,,,,,,8250,https://biblia.deon.pl/otworz.php?skrot=Rdz%2024
